"","Number","Cell","Slice","Date","Sample","Mouse","Mouse date of birth","Mouse age","Mouse gender","Mouse genotype","Targeted layer","Inferred layer","Cre","Exon reads","Intron reads","Intergenic reads","Sequencing batch","Number of genes detected","RNA family","RNA type","RNA type confidence","RNA type top-3","ALM/VISp top-3","top_cluster_string","top_alm_visp_cluster","cluster_score_string","cluster_score_string_number","rest","top_alm_visp_subclass","Length (bp)","Yield (pg/µl)","User","Hold Time (min)","Soma depth (µm)","Soma depth (4x)","Cortical thickness (4x)","Cortical thickness (µm)","Traced","Exclusion reasons","top_cluster_score","C1qb","Tyrobp","cell id","AP Fano factor","AP amplitude (mV)","AP amplitude adaptation index","AP amplitude average adaptation index","AP coefficient of variation","AP threshold (mV)","AP width (ms)","Afterdepolarization (mV)","Afterhyperpolarization (mV)","Burstiness","ISI Fano factor","ISI adaptation index","ISI average adaptation index","ISI coefficient of variation","Input resistance (MOhm)","Latency (ms)","Latency @ +20pA current (ms)","Max number of APs","Membrane time constant (ms)","Rebound (mV)","Rebound number of APs","Resting membrane potential (mV)","Rheobase (pA)","Sag area (mV*s)","Sag ratio","Sag time (s)","Spike frequency adaptation","Upstroke-to-downstroke ratio","Wildness","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astro","Endo","GABAergic","Macrophage","Oligo","Peri","SMC","VLMC"
"307",307,"20180726_sample_3","20180726_slice_3",2018-07-26,"sample 3","mouse_XHGCQ",2018-06-11,45,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",2127985,1532633,205006,4,10701,"Pvalb","Pvalb Il1rapl2",0.65,"Pvalb Il1rapl2 (65.0%), Pvalb Reln (27.3%), Pvalb Gpr149 (5.1%)","Pvalb Tpbg (53.0%), Pvalb Reln Itm2a (47.0%)","Pvalb Tpbg (53.0%), Pvalb Reln Itm2a (47.0%)","Pvalb Tpbg","53.0%), Pvalb Reln Itm2a","53.0",", Pvalb Reln Itm2a","Pvalb",2016,224.16,"Fede",30,"423.9",152.6,476.1,1314.036,NA,NA,53,-1.36474471660176,-1.36474471660176,"20180726_sample_3",2.83262024203417,72.7954991161823,0.925714009268542,0.99619563351745,0.274032600444702,-35.0442007184029,0.599999999999989,0,-15.906885266304,0,0.00013707728340949,1.26509186351706,1.01747262213446,0.140088139655983,171.256283267091,342.8,102.28,86,8.14264964542851,1.74853809577016,0,-61.2859906159341,93.0666666666667,0,1.05144709636956,0,0.888888888888889,1.24414776865992,0,"Glutamatergic","Pvalb_on",34.7486680265613,0.16029165857136,NA,0.229056853951097,-Inf,0.0316488726897949,NA,0.716028943778952,0.0970110175709965,0.0249213580707126,NA,NA,0.020449065644016
"308",308,"20180726_sample_4","20180726_slice_4",2018-07-26,"sample 4","mouse_XHGCQ",2018-06-11,45,"F","Pvalb-Cre/wt; Ai9/wt","2/3","5","PV+",1597000,1681093,328613,4,12219,"Pvalb","Pvalb Reln",0.82,"Pvalb Reln (82.1%), Pvalb Kank4 (11.1%), Pvalb Gpr149 (5.4%)","Pvalb Reln Itm2a (99.0%)","Pvalb Reln Itm2a (99.0%)","Pvalb Reln Itm2a","99.0%)","99.0","","Pvalb",1819,423.29,"Fede",33,"411.1",150.7,498,1374.48,"?",NA,99,8.06963144898586,2.9785422183368,"20180726_sample_4",1.9680769508481,75.4301846027374,0.986696219497802,0.999266600126386,0.222753271518968,-46.8083396553993,0.519999999999993,0,-18.0940330028534,0,3.00698133131896e-05,1.07664233576642,1.01169071069614,0.0770473091379998,165.75983607769,38.92,23.32,119,10.3927695908099,3.81390674196982,0,-69.4914722666144,80,13.5993793861568,1.14095694612336,0.13224,0.934426229508197,1.18017478852991,0,"Glutamatergic","Pvalb_on",52.8018240601361,0.243568816730553,NA,0.239987956859729,-Inf,0.167355477494975,NA,0.811380175374675,0.328085171348368,0.126669210560782,NA,NA,0.0428027513460582
"309",309,"20180726_sample_5","20180726_slice_5",2018-07-26,"sample 5","mouse_XHGCQ",2018-06-11,45,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",1208032,1123124,169356,4,8898,"Pvalb","Pvalb Reln",0.96,"Pvalb Reln (96.1%)","Pvalb Reln Itm2a (100.0%)","Pvalb Reln Itm2a (100.0%)","Pvalb Reln Itm2a","100.0%)","100.0","","Pvalb",1675,175.27,"Fede",29,"509.3",186,522,1440.72,NA,NA,100,7.15483753604997,-1.36474471660176,"20180726_sample_5",1.65937450702649,65.469378605485,0.885824793242693,0.995794958204151,0.201960197803699,-39.5336635410786,0.560000000000005,0,-18.8332051038742,0,2.30257635136701e-05,1.32618025751073,1.04948027930343,0.0670116844289833,165.367981889596,37.76,8.28000000000001,117,11.7830815365288,2.84185084025879,0,-60.1540010929108,100,0,1.10639888782241,0,0.933333333333333,1.05822867597093,0,"Glutamatergic","Pvalb_on",20.2525003709596,0.0934224837682059,NA,0.16216849237964,-Inf,0.0926956997529575,NA,0.482695081213794,0.174521050248443,0.0392049512634981,NA,NA,0.0270015002163763
"310",310,"20180726_sample_6","20180726_slice_6",2018-07-26,"sample 6","mouse_XHGCQ",2018-06-11,45,"F","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",1430584,1167323,187407,4,11660,"Pvalb","Pvalb Il1rapl2",0.86,"Pvalb Il1rapl2 (86.0%), Pvalb Calb1_2 (4.6%), Pvalb Calb1_1 (4.0%)","Pvalb Tpbg (89.0%), Pvalb Sema3e Kank4 (11.0%)","Pvalb Tpbg (89.0%), Pvalb Sema3e Kank4 (11.0%)","Pvalb Tpbg","89.0%), Pvalb Sema3e Kank4","89.0",", Pvalb Sema3e Kank4","Pvalb",1675,381.04,"Fede",36,"319.2",119.6,470.8,1299.408,NA,NA,89,7.21053277638032,6.58125244747688,"20180726_sample_6",1.53759626816473,69.5614274591208,0.955782911230949,0.998717221913208,0.191257506780331,-44.3666838109493,0.519999999999993,0,-19.2429684102535,0,4.30470932334288e-05,1.1003717472119,1.01036380980025,0.084120827595746,158.924877472222,20.16,15.12,99,6.81839691096594,2.74127835297735,0,-70.486118710041,120,0,1.12233052046032,0,0.96,1.11953339540173,0,"Glutamatergic","Pvalb_on",46.7830130253149,0.215804725092231,NA,0.262565374570392,-Inf,0.212735896544029,NA,0.803917453273604,0.252264209437437,0.0981494019428275,NA,NA,0.0722408687579355
"311",311,"20180726_sample_7","20180726_slice_7",2018-07-26,"sample 7","mouse_XHGCQ",2018-06-11,45,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",1308022,1223345,136511,4,11364,"Pvalb","Pvalb Gpr149",1,"Pvalb Gpr149 (99.6%)","Pvalb Gpr149 Islr (91.0%), Pvalb Sema3e Kank4 (8.0%)","Pvalb Gpr149 Islr (91.0%), Pvalb Sema3e Kank4 (8.0%)","Pvalb Gpr149 Islr","91.0%), Pvalb Sema3e Kank4","91.0",", Pvalb Sema3e Kank4","Pvalb",1757,139.94,"Fede",40,"1011.9",376.1,558.5,1541.46,NA,NA,91,6.39189146482678,6.66925523494335,"20180726_sample_7",1.50744467707746,67.1868845820427,0.95726249818852,0.998096699538602,0.178079569550056,-29.8232473433018,0.479999999999994,0,-20.2054344117641,0,0.000138089496063555,1.17663043478261,1.01417109585888,0.162024296231407,117.771373961121,15.2,12.36,114,8.91077261839594,1.2786760563082,0,-58.0352998927236,220,0,1.08976508858627,0,0.915254237288136,1.02868873070818,0,"Glutamatergic","Pvalb_on",28.9376520094783,0.133486101746823,NA,0.143386373858799,-Inf,0.136120174327192,NA,0.869063313066352,0.28019639672431,0.234639174310956,NA,NA,0.0373388456557245
"312",312,"20180817_sample_2","20180817_slice_2",2018-08-17,"sample 2","mouse_APLSV",2018-06-29,49,"F","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",1221085,1247943,128552,4,8399,"Pvalb","Pvalb Il1rapl2",0.95,"Pvalb Il1rapl2 (95.0%)","Pvalb Tpbg (100.0%)","Pvalb Tpbg (100.0%)","Pvalb Tpbg","100.0%)","100.0","","Pvalb",2108,169.06,"Fede",42,"372",138,578.8,1597.488,"y",NA,100,6.87332366690243,6.80341688550174,"20180817_sample_2",1.53923256299656,53.8932532072067,1.00861627886079,0.999178153239387,0.194749753561402,-30.0745107233524,0.519999999999965,0,-20.9374167025089,0,3.89972537292617e-05,1.01900237529691,1.00397190196965,0.0865676493965218,109.845818127195,176.04,66.8,116,6.60865360193479,1.24318924173494,0,-68.2566784635186,182.631578947368,0,1.11276790241593,0,0.949152542372881,1.05253549929188,0,"Glutamatergic","Pvalb_on",15.3722187687959,0.0709102990793377,NA,0.123141095950778,-Inf,-0.0164563640308282,NA,0.791358707567801,0.205436897970469,0.0112471118476885,NA,NA,0.0487309195821234
"313",313,"20180817_sample_3","20180817_slice_3",2018-08-17,"sample 3","mouse_APLSV",2018-06-29,49,"F","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",2996155,693709,134809,4,11345,"Pvalb","Pvalb Il1rapl2",0.86,"Pvalb Il1rapl2 (85.7%), Pvalb Calb1_2 (12.4%)","Pvalb Tpbg (100.0%)","Pvalb Tpbg (100.0%)","Pvalb Tpbg","100.0%)","100.0","","Pvalb",2102,346.28,"Fede",47,"266.2",95.1,571.1,1576.236,"y",NA,100,4.86155351020527,4.17640174482923,"20180817_sample_3",1.68981823245473,42.7204389125109,0.935194166273116,0.998760501157309,0.207900137895501,-18.1537568569183,0.759999999999983,0,-21.8779854476452,0,0.000162883221978811,0.878136200716844,0.999370819906762,0.153230696925752,133.725687574063,133.2,14.32,87,7.33047521571176,1.85684057712777,0,-55.6921536698937,200,0,1.09125840413396,0,0.911111111111111,0.826832215393129,0,"Glutamatergic","Pvalb_on",22.3299545917979,0.103005544114856,NA,0.200217284060822,-Inf,0.0873634794849128,NA,0.851365722539292,0.102657665774867,0.000757688102817754,NA,NA,0.00201388055309685
"314",314,"20180817_sample_4","20180817_slice_4",2018-08-17,"sample 4","mouse_APLSV",2018-06-29,49,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",901282,430080,66026,4,7070,"Pvalb","Pvalb Reln",0.94,"Pvalb Reln (94.0%), Pvalb Gpr149 (4.7%)","Pvalb Reln Itm2a (99.0%)","Pvalb Reln Itm2a (99.0%)","Pvalb Reln Itm2a","99.0%)","99.0","","Pvalb",2251,87.97,"Fede",35,"636.4",233.6,607.3,1676.148,"y",NA,99,5.97258094440465,5.90510674939327,"20180817_sample_4",2.31329168472257,77.0476907491684,0.839046165477399,0.990571568573732,0.226250375373878,-41.3694977760315,0.640000000000002,0,-14.2228454351425,0,0.000427811293851562,1.44252873563218,1.0362471602479,0.196598561897137,203.76294854035,8.56,6.56,43,7.8327151636332,2.71574793986938,0,-62.639421030879,114.423076923077,0,1.07454427540573,0,0.448275862068966,1.25413144139559,0,"Glutamatergic","Pvalb_on",9.44849158799575,0.0435848184592201,NA,0.14437711448557,-Inf,0.09694921802399,NA,0.410245281663072,0.174768288984696,0.0202431396759583,NA,NA,0.0106128529798504
"315",315,"20180817_sample_5","20180817_slice_5",2018-08-17,"sample 5","mouse_APLSV",2018-06-29,49,"F","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",1256627,1546246,204305,4,10268,"Pvalb","Pvalb Il1rapl2",0.95,"Pvalb Il1rapl2 (95.3%)","Pvalb Tpbg (100.0%)","Pvalb Tpbg (100.0%)","Pvalb Tpbg","100.0%)","100.0","","Pvalb",1927,231.26,"Fede",50,"362.1",131.1,618.3,1706.508,NA,NA,100,-1.36474471660176,-1.36474471660176,"20180817_sample_5",2.68072839942683,72.5126229226589,0.965629927870208,0.997720656284,0.267631221183642,-32.894853502512,0.559999999999991,0,-20.6935666501522,0,0.000146768639561999,1.22072072072072,1.01959615046041,0.157396852877299,158.990265712142,17.44,12.92,102,4.81203643201617,1.54429125476595,0,-64.8131243720651,140,0,1.05401867246423,0,0.905660377358491,1.13862424675156,0,"Glutamatergic","Pvalb_on",37.1511898436204,0.171374218815566,NA,0.277368182293816,-Inf,0.109804247441676,NA,0.741151458388161,0.0019019013961422,0.011984822992802,NA,NA,0.0469137211636392
"316",316,"20180817_sample_6","20180817_slice_6",2018-08-17,"sample 6","mouse_APLSV",2018-06-29,49,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",772360,1207990,183131,4,10764,"IT","L4/5 IT_2",0.91,"L4/5 IT_2 (90.6%), L4/5 IT_1 (8.6%)","L4 IT VISp Rspo1 (100.0%)","L4 IT VISp Rspo1 (100.0%)","L4 IT VISp Rspo1","100.0%)","100.0","","L4",1806,277.86,"Fede",22,"612.8",227,579.6,1599.696,"y",NA,100,-1.36474471660176,-1.36474471660176,"20180817_sample_6",0.694593340456461,84.8256722092628,0.787048344452587,0.925599223522143,0.0947124849973754,-31.3053019344807,1.59999999999999,0,-6.21715188026428,0.174163783160323,0.00699769415460564,2.25172149961744,2.08363083574908,0.313271244064742,156.770152742664,123.04,68.32,6,16.5025793261367,2.11684237409747,0,-68.6848257556558,140,0,1.07965845353636,0,0.2,4.25343739646577,0,"Glutamatergic","L4_on",213.827619582207,0.986362520859755,NA,0.548003232106321,-Inf,0.106101741520089,NA,0.224797419845911,0.0357839088652534,0.123703966490667,NA,NA,0.0615858896471154
"317",317,"20180817_sample_7","20180817_slice_7",2018-08-17,"sample 7","mouse_APLSV",2018-06-29,49,"F","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",5386101,471445,185070,4,13989,"Pvalb","Pvalb Il1rapl2",0.88,"Pvalb Il1rapl2 (87.7%), Pvalb Calb1_2 (4.7%), Pvalb Reln (4.3%)","Pvalb Tpbg (97.0%)","Pvalb Tpbg (97.0%)","Pvalb Tpbg","97.0%)","97.0","","Pvalb",2070,423.91,"Fede",40,"351.6",130.4,564,1556.64,"?",NA,97,6.60516462513952,5.57806524968683,"20180817_sample_7",4.06060572636413,66.1477688699961,0.928605819115025,0.994710962471886,0.325713807719385,-35.1328030228615,0.760000000000011,0,-16.6127718985081,0,7.03032729239933e-05,1.07236842105263,1.01237790227017,0.0770882270483532,182.273539582888,76.44,20.56,51,8.31678100489574,1.12918040472036,0,-65.1143311649561,100,0,1.02100220319597,0,0.923076923076923,1.48808106070526,0,"Glutamatergic","Pvalb_on",30.4353591528505,0.14039485467749,NA,0.158335717039358,-Inf,0.123940981908686,NA,0.945172737795825,0.296234735198845,-0.00990152328473212,NA,NA,0.0147378944981098
"318",318,"20180820_sample_1","20180820_slice_1",2018-08-20,"sample 1","mouse_WVNFF",2018-06-19,62,"M","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",1434793,1651393,179133,4,9473,"Sst","Sst Hpse",0.83,"Sst Hpse (82.9%), Sst Calb2 (15.9%)","Sst Hpse Cbln4 (78.0%), Sst Calb2 Pdlim5 (21.0%)","Sst Hpse Cbln4 (78.0%), Sst Calb2 Pdlim5 (21.0%)","Sst Hpse Cbln4","78.0%), Sst Calb2 Pdlim5","78.0",", Sst Calb2 Pdlim5","Sst",1925,629.39,"Fede",55,"352.5",129.5,499.6,1378.896,"y",NA,78,-1.36474471660176,-1.36474471660176,"20180820_sample_1",0.322767890070004,71.0799302905798,0.936641965117396,0.993156810432645,0.0775807923887561,-26.2755695730448,1,0,-8.82756151258945,0.588516746411483,0.000902121834360028,1.11963190184049,1.03333195533936,0.215197945547741,288.773407371094,220.08,38.88,31,20.1558339301477,10.4110169847601,0,-40.3900048792362,12.5,51.7136430290336,1.27157698354493,0.523,0.823529411764706,2.12774840825834,0,"Glutamatergic","Sst_on",43.9538863700437,0.202754285186585,NA,0.284811520696497,-Inf,0.0117468896305034,NA,0.72152782672185,0.0360805105099382,-0.0173502126383484,NA,NA,0.00466164937924995
"319",319,"20180820_sample_2","20180820_slice_2",2018-08-20,"sample 2","mouse_WVNFF",2018-06-19,62,"M","Sst-IRES-Cre/wt; Ai9/wt","2/3","6","SST-",980871,1387282,131883,4,10252,"IT","L5 IT_4",0.96,"L5 IT_4 (95.7%)","L6 IT VISp Penk Col27a1 (57.0%), L6 IT ALM Oprk1 (24.0%), L5 IT VISp Col27a1 (9.0%)","L6 IT VISp Penk Col27a1 (57.0%), L6 IT ALM Oprk1 (24.0%), L5 IT VISp Col27a1 (9.0%)","L6 IT VISp Penk Col27a1","57.0%), L6 IT ALM Oprk1","57.0",", L6 IT ALM Oprk1","L6",2031,320.93,"Fede",25,"1059.3",368,487.5,1345.5,"y",NA,57,5.30292048633012,3.6377740733554,"20180820_sample_2",2.40848524795825,92.2188051044941,0.680393450599709,0.998597054533032,0.189115188819231,-40.2293689548969,1.72,0,-4.28012758493423,0.713846153846154,0.00921705679648958,8.15361445783132,3.09905762207889,0.415697131900192,112.90890810142,129.32,81.52,12,14.0198689263994,0.607902949015809,0,-75.7614536985755,140,0,1.07158530045841,0,0.714285714285714,4.51622115867558,0,"Glutamatergic","L6.IT_on",178.450825381947,0.823173387596779,NA,0.430749925756302,-Inf,0.0727197133241727,NA,0.0873561516727554,0.151648813997511,0.0222771085263981,NA,NA,-0.0026087053748175
"320",320,"20180820_sample_3","20180820_slice_3",2018-08-20,"sample 3","mouse_WVNFF",2018-06-19,62,"M","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",1073088,1173323,159318,4,8872,"Sst","Sst Calb2",1,"Sst Calb2 (100.0%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5","100.0%)","100.0","","Sst",1782,227.74,"Fede",38,"356.1",140.2,557.6,1538.976,NA,NA,100,-1.36474471660177,-1.36474471660177,"20180820_sample_3",2.72027462922551,82.4761465191841,0.89666197185755,0.982212636253352,0.255831346444677,-40.8305339515209,1,4.87875193357468,-12.8370672464371,0,0.00247494840318873,1.24607961399276,1.07891703124998,0.31630504961033,288.113894525915,202.8,58.04,24,31.3700216344047,10.4180175959881,0,-59.6498200379312,2.85714285714285,49.4014609165498,1.24585427371012,0.40512,0.6,2.03331179100292,0,"Glutamatergic","Sst_on",38.5677233374631,0.177908526921314,NA,0.271233177089575,-Inf,0.00774254256482902,NA,0.790517253254516,0.00388734001758662,-0.0153926737057864,NA,NA,0.00336841372347504
"321",321,"20180820_sample_4","20180820_slice_4",2018-08-20,"sample 4","mouse_WVNFF",2018-06-19,62,"M","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",656757,450383,65562,4,8268,"Sst","Sst Calb2",0.99,"Sst Calb2 (98.7%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5","100.0%)","100.0","","Sst",2034,172.39,"Fede",56,"337.3",123.5,537,1482.12,"y",NA,100,6.51741524344394,3.19527051722743,"20180820_sample_4",2.61301639088426,87.3005986213684,0.848651768107821,0.985716950448115,0.242616324311161,-43.6109714210033,1.12000000000001,0,-10.0344158709049,0,0.00422662556477326,1.29768786127167,1.19635758331689,0.3796094014632,262.815908446908,66.72,45.52,20,24.679983942866,7.11849307424785,0,-61.0343488112092,40,60.0687777438764,1.20585430114557,0.51376,0.538461538461538,2.33424097015465,0,"Glutamatergic","Sst_on",31.5538323786524,0.145554244622866,NA,0.17593616959011,-Inf,0.158789607961804,NA,0.637811806276877,0.271868269869066,0.0351682379092813,NA,NA,-0.00585604746990897
"322",322,"20180820_sample_5","20180820_slice_5",2018-08-20,"sample 5","mouse_WVNFF",2018-06-19,62,"M","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",540819,473012,66152,4,7280,"Sst","Sst Pvalb Calb2",0.99,"Sst Pvalb Calb2 (99.0%)","Sst Tac1 Tacr3 (89.0%), Sst Calb2 Necab1 (5.0%), Sst Tac1 Htr1d (3.0%)","Sst Tac1 Tacr3 (89.0%), Sst Calb2 Necab1 (5.0%), Sst Tac1 Htr1d (3.0%)","Sst Tac1 Tacr3","89.0%), Sst Calb2 Necab1","89.0",", Sst Calb2 Necab1","Sst",2033,142.99,"Fede",50,"226.9",85.2,482.4,1331.424,"y",NA,89,7.72926353311246,1.68931384865281,"20180820_sample_5",0.557824349340588,60.5508722364902,0.941770654006732,0.991634186079634,0.109040369934762,-33.5120223462582,1,0,-13.1899937987328,0,0.00251122446347979,1.02131546894032,1.01892534633354,0.305435776396828,244.335147388279,515.28,157.72,23,12.1585133113092,1.43967606768302,0,-63.8087781354785,48.5714285714286,0,1.03788563108338,0,0.642857142857143,2.01448313448684,0,"Glutamatergic","Sst_on",23.1118857456675,0.106612503709582,NA,0.109627490083987,-Inf,-0.00663670905194842,NA,0.736223996926274,0.14742529524024,-0.0166927121949288,NA,NA,0.00850066938529083
"323",323,"20180820_sample_6","20180820_slice_6",2018-08-20,"sample 6","mouse_WVNFF",2018-06-19,62,"M","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST-",900075,54270,72628,4,4634,"IT","L2/3 IT_3",0.73,"L2/3 IT_3 (73.3%), L2/3 IT_2 (12.0%), L6 CT Cpa6 (3.6%)","L2/3 IT VISp Agmat (93.0%), L2/3 IT ALM Ptrf (7.0%)","L2/3 IT VISp Agmat (93.0%), L2/3 IT ALM Ptrf (7.0%)","L2/3 IT VISp Agmat","93.0%), L2/3 IT ALM Ptrf","93.0",", L2/3 IT ALM Ptrf","L2/3",1502,124.94,"Fede",20,"214.9",78.5,491.1,1355.436,"y",NA,93,9.81081844118824,8.87186730311736,"20180820_sample_6",2.99448114423891,90.7787978649139,0.696833500928759,0.944999803260895,0.213870988059816,-35.1782366633415,1.72,0,-7.08834081888199,0,0.0554990125161847,23.7429577464789,23.7429577464789,0.865176315322529,94.8559755111733,90.72,63.24,6,10.0703178397738,0.149852180487315,0,-78.3864713862538,200,0,1.05803196146292,0,0.2,4.27815888373832,0,"Glutamatergic","L2.3.IT_on",150.257675180041,0.693121588121744,NA,0.270151284139815,-Inf,0.0394603087000416,NA,0.0397895368418117,0.242287375326203,-0.00971742535317512,NA,NA,-0.0221183175666842
"324",324,"20180820_sample_7","20180820_slice_7",2018-08-20,"sample 7","mouse_WVNFF",2018-06-19,62,"M","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",1467784,391450,122764,4,9539,"Sst","Sst Pvalb Calb2",0.9,"Sst Pvalb Calb2 (89.6%), Sst Calb2 (8.1%)","Sst Tac1 Htr1d (52.0%), Sst Calb2 Pdlim5 (23.0%), Sst Calb2 Necab1 (21.0%)","Sst Tac1 Htr1d (52.0%), Sst Calb2 Pdlim5 (23.0%), Sst Calb2 Necab1 (21.0%)","Sst Tac1 Htr1d","52.0%), Sst Calb2 Pdlim5","52.0",", Sst Calb2 Pdlim5","Sst",1810,237.98,"Fede",51,"402.2",150,564.4,1557.744,"y",NA,52,7.28998896605062,5.13497959403535,"20180820_sample_7",2.20227555936387,51.1811450123787,0.929937787269793,0.993460046513537,0.261491431638396,-18.790178000927,0.879999999999992,0,-13.398103415966,0,0.000172938906752412,1.09306569343066,1.02721640228025,0.114162061529369,148.728540014653,185.28,48.52,46,9.6006446695307,4.14138845591609,0,-42.5639568351209,72.6666666666667,37.6215232658386,1.26043642980748,0.51196,0.956521739130435,1.04896589242287,0,"Glutamatergic","Sst_on",46.1061616851404,0.212682486742263,NA,0.154852992414698,-Inf,0.0450105639504724,NA,0.81091189714704,0.222729342241248,0.0123709356694442,NA,NA,0.00284608593325907
"325",325,"20180822_sample_1","20180822_slice_1",2018-08-22,"sample 1","mouse_MSVHB",2018-06-27,56,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",1661854,1564524,193771,4,10858,"Pvalb","Pvalb Reln",0.98,"Pvalb Reln (97.6%)","Pvalb Reln Itm2a (100.0%)","Pvalb Reln Itm2a (100.0%)","Pvalb Reln Itm2a","100.0%)","100.0","","Pvalb",2081,454.37,"Fede",44,"552.9",200.7,602.1,1661.796,"y",NA,100,8.47569793503033,7.05749206087213,"20180822_sample_1",3.578958301283,67.519748583436,0.948953600696201,0.996735314556006,0.319756671320504,-29.9755800515413,0.599999999999989,0,-20.4218570142984,0,0.000194713548590074,1.1010989010989,1.01265907803543,0.154478338045988,179.835101296504,170.8,22.2,74,12.3280070935297,2.39009989729943,0,-58.4628511197865,100,0,1.11936621293683,0,0.871794871794872,1.27123278608985,0,"Glutamatergic","Pvalb_on",1.84445353714881,0.00850825465889524,NA,0.077728442479447,-Inf,0.10079173627875,NA,0.520552432245592,0.583969314143255,0.0582237933296183,NA,NA,0.00905505463696459
"326",326,"20180822_sample_2","20180822_slice_2",2018-08-22,"sample 2","mouse_MSVHB",2018-06-27,56,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",761152,1097299,131991,4,11440,"Pvalb","Pvalb Reln",0.46,"Pvalb Reln (46.1%), Pvalb Calb1_2 (41.9%), Pvalb Kank4 (10.3%)","Pvalb Reln Itm2a (73.0%), Pvalb Reln Tac1 (21.0%), Pvalb Sema3e Kank4 (6.0%)","Pvalb Reln Itm2a (73.0%), Pvalb Reln Tac1 (21.0%), Pvalb Sema3e Kank4 (6.0%)","Pvalb Reln Itm2a","73.0%), Pvalb Reln Tac1","73.0",", Pvalb Reln Tac1","Pvalb",1702,846.21,"Fede",41,"728",264.9,569.1,1570.716,"y",NA,73,-1.36474471660177,-0.120467333600843,"20180822_sample_2",0.369021680700091,72.4594220519066,0.881505670368127,0.991610855278955,0.0879065787621046,-39.0468053519726,0.68,0,-18.9836956560612,0,0.000194806691823008,1.176,1.01969857399505,0.126025590847392,161.960523645083,21.2,15.36,50,13.0014877409999,2.17447321226626,0,-66.907278265059,160,0,1.08950128751803,0,0.777777777777778,1.27570893861756,2,"Glutamatergic","Pvalb_on",18.2954860847621,0.0843949991595103,NA,0.206111566612774,-Inf,0.0748897258055888,NA,0.825862475986434,0.0388279324663182,0.0704803591202762,NA,NA,0.0383549032902018
"327",327,"20180822_sample_3","20180822_slice_3",2018-08-22,"sample 3","mouse_MSVHB",2018-06-27,56,"F","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",2228689,1551265,179459,4,11860,"Pvalb","Pvalb Il1rapl2",0.9,"Pvalb Il1rapl2 (89.9%), Pvalb Kank4 (6.4%)","Pvalb Tpbg (96.0%)","Pvalb Tpbg (96.0%)","Pvalb Tpbg","96.0%)","96.0","","Pvalb",2163,340.54,"Fede",45,"250.3",100.4,528.9,1459.764,"y",NA,96,7.27247072816634,2.93925955746707,"20180822_sample_3",0.960972507002025,41.9412897899747,0.95375668669966,0.99774205862268,0.15102241729723,-14.5538216456771,0.719999999999998,0,-25.3098318353295,0,0.000119308511688428,1.15028901734104,1.01622358255767,0.122703280288915,132.858969693383,224.36,21.76,76,8.48991206380486,0.686929054070575,0,-50.7559452429414,183.098591549296,0,1.07147638158044,0,0.875,0.7295049599108,0,"Glutamatergic","Pvalb_on",31.2774276210837,0.144279220872493,NA,0.198040392470483,-Inf,0.142194274646998,NA,0.831652821522736,0.286571528090593,0.0364140226113855,NA,NA,0.0289847778037283
